SimNum,Stage,Scenario,Model,Cost
19,19,5.0,Expected,0.0
19,20,2.0,Expected,0.5
19,21,3.0,Expected,0.0
19,22,5.0,Expected,0.2
19,23,4.0,Expected,0.1
19,24,4.0,Expected,0.1
20,1,3.0,Expected,0.2
20,2,3.0,Expected,0.2
20,3,3.0,Expected,0.2
20,4,3.0,Expected,0.2
20,5,4.0,Expected,0.30000000000000004
20,6,5.0,Expected,0.1
20,7,4.0,Expected,0.0
20,8,4.0,Expected,0.0
20,9,2.0,Expected,0.2
20,10,2.0,Expected,0.2
20,11,3.0,Expected,0.0
20,12,3.0,Expected,0.0
20,13,5.0,Expected,0.2
20,14,3.0,Expected,0.0
20,15,2.0,Expected,0.2
20,16,2.0,Expected,0.2
20,17,2.0,Expected,1.2000000000000002
20,18,2.0,Expected,1.5
20,19,2.0,Expected,1.7999999999999998
20,20,3.0,Expected,0.0
20,21,3.0,Expected,0.0
20,22,4.0,Expected,0.1
20,23,2.0,Expected,0.3
20,24,5.0,Expected,0.2
21,1,4.0,Expected,0.30000000000000004
21,2,5.0,Expected,0.4
21,3,5.0,Expected,0.4
21,4,3.0,Expected,0.2
21,5,5.0,Expected,0.4
21,6,3.0,Expected,0.2
21,7,5.0,Expected,0.1
21,8,2.0,Expected,0.6
21,9,5.0,Expected,0.2
21,10,4.0,Expected,0.1
21,11,4.0,Expected,0.1
21,12,5.0,Expected,0.2
21,13,5.0,Expected,0.2
21,14,2.0,Expected,0.2
21,15,5.0,Expected,0.2
21,16,2.0,Expected,0.2
21,17,2.0,Expected,1.2000000000000002
21,18,3.0,Expected,1.0
21,19,4.0,Expected,0.6
21,20,4.0,Expected,0.1
21,21,3.0,Expected,0.0
21,22,5.0,Expected,0.2
21,23,3.0,Expected,0.0
21,24,4.0,Expected,0.1
22,1,4.0,Expected,0.30000000000000004
22,2,2.0,Expected,0.1
22,3,3.0,Expected,0.2
22,4,4.0,Expected,0.30000000000000004
22,5,2.0,Expected,0.1
22,6,2.0,Expected,0.4
22,7,2.0,Expected,0.8
22,8,3.0,Expected,0.3
22,9,2.0,Expected,0.2
22,10,2.0,Expected,0.2
22,11,2.0,Expected,0.3
22,12,5.0,Expected,0.2
22,13,3.0,Expected,0.0
22,14,5.0,Expected,0.2
22,15,3.0,Expected,0.0
22,16,5.0,Expected,0.2
22,17,5.0,Expected,0.0
22,18,3.0,Expected,1.0
22,19,3.0,Expected,1.2
22,20,3.0,Expected,0.0
22,21,5.0,Expected,0.2
22,22,5.0,Expected,0.2
22,23,3.0,Expected,0.0
22,24,4.0,Expected,0.1
23,1,3.0,Expected,0.2
23,2,3.0,Expected,0.2
23,3,5.0,Expected,0.4
23,4,2.0,Expected,0.1
23,5,3.0,Expected,0.2
23,6,3.0,Expected,0.2
23,7,4.0,Expected,0.0
23,8,3.0,Expected,0.3
23,9,2.0,Expected,0.2
23,10,4.0,Expected,0.1
23,11,3.0,Expected,0.0
23,12,4.0,Expected,0.1
23,13,5.0,Expected,0.2
23,14,4.0,Expected,0.1
23,15,3.0,Expected,0.0
23,16,5.0,Expected,0.2
23,17,2.0,Expected,1.2000000000000002
23,18,3.0,Expected,1.0
23,19,2.0,Expected,1.7999999999999998
23,20,5.0,Expected,0.2
23,21,5.0,Expected,0.2
23,22,3.0,Expected,0.0
23,23,3.0,Expected,0.0
23,24,5.0,Expected,0.2
24,1,2.0,Expected,0.1
24,2,5.0,Expected,0.4
24,3,4.0,Expected,0.30000000000000004
24,4,2.0,Expected,0.1
24,5,2.0,Expected,0.1
24,6,4.0,Expected,0.0
24,7,2.0,Expected,0.8
24,8,3.0,Expected,0.3
24,9,3.0,Expected,0.0
24,10,3.0,Expected,0.0
24,11,5.0,Expected,0.2
24,12,2.0,Expected,0.3
24,13,2.0,Expected,0.2
24,14,3.0,Expected,0.0
24,15,4.0,Expected,0.1
24,16,2.0,Expected,0.2
24,17,2.0,Expected,1.2000000000000002
24,18,3.0,Expected,1.0
24,19,4.0,Expected,0.6
24,20,3.0,Expected,0.0
24,21,4.0,Expected,0.1
24,22,3.0,Expected,0.0
24,23,2.0,Expected,0.3
24,24,5.0,Expected,0.2
25,1,5.0,Expected,0.4
25,2,2.0,Expected,0.1
25,3,4.0,Expected,0.30000000000000004
25,4,3.0,Expected,0.2
25,5,3.0,Expected,0.2
25,6,3.0,Expected,0.2
25,7,3.0,Expected,0.4
25,8,3.0,Expected,0.3
25,9,2.0,Expected,0.2
25,10,5.0,Expected,0.2
25,11,5.0,Expected,0.2
25,12,5.0,Expected,0.2
25,13,4.0,Expected,0.1
25,14,5.0,Expected,0.2
25,15,3.0,Expected,0.0
25,16,3.0,Expected,0.0
25,17,3.0,Expected,0.8
25,18,3.0,Expected,1.0
25,19,2.0,Expected,1.7999999999999998
25,20,3.0,Expected,0.0
25,21,5.0,Expected,0.2
25,22,3.0,Expected,0.0
25,23,3.0,Expected,0.0
25,24,3.0,Expected,0.0
26,1,2.0,Expected,0.1
26,2,2.0,Expected,0.1
26,3,4.0,Expected,0.30000000000000004
26,4,2.0,Expected,0.1
26,5,3.0,Expected,0.2
26,6,3.0,Expected,0.2
26,7,3.0,Expected,0.4
26,8,2.0,Expected,0.6
26,9,2.0,Expected,0.2
26,10,4.0,Expected,0.1
26,11,3.0,Expected,0.0
26,12,5.0,Expected,0.2
26,13,2.0,Expected,0.2
26,14,3.0,Expected,0.0
26,15,5.0,Expected,0.2
26,16,5.0,Expected,0.2
26,17,5.0,Expected,0.0
26,18,4.0,Expected,0.5
26,19,5.0,Expected,0.0
26,20,2.0,Expected,0.5
26,21,4.0,Expected,0.1
26,22,4.0,Expected,0.1
26,23,5.0,Expected,0.2
26,24,5.0,Expected,0.2
27,1,4.0,Expected,0.30000000000000004
27,2,3.0,Expected,0.2
27,3,4.0,Expected,0.30000000000000004
27,4,5.0,Expected,0.4
27,5,2.0,Expected,0.1
27,6,2.0,Expected,0.4
27,7,5.0,Expected,0.1
27,8,2.0,Expected,0.6
27,9,5.0,Expected,0.2
27,10,4.0,Expected,0.1
27,11,2.0,Expected,0.3
27,12,4.0,Expected,0.1
27,13,2.0,Expected,0.2
27,14,5.0,Expected,0.2
27,15,3.0,Expected,0.0
27,16,5.0,Expected,0.2
27,17,3.0,Expected,0.8
27,18,5.0,Expected,0.0
27,19,2.0,Expected,1.7999999999999998
27,20,2.0,Expected,0.5
27,21,5.0,Expected,0.2
27,22,5.0,Expected,0.2
27,23,4.0,Expected,0.1
27,24,2.0,Expected,0.3
28,1,5.0,Expected,0.4
28,2,4.0,Expected,0.30000000000000004
28,3,3.0,Expected,0.2
28,4,5.0,Expected,0.4
28,5,4.0,Expected,0.30000000000000004
28,6,2.0,Expected,0.4
28,7,4.0,Expected,0.0
28,8,5.0,Expected,0.1
28,9,3.0,Expected,0.0
28,10,3.0,Expected,0.0
28,11,2.0,Expected,0.3
28,12,5.0,Expected,0.2
