SimNum,Stage,Scenario,Demand,Wind,c_DA,Model
8,6,3.0,4.0,3.0,0.0,Expected
8,7,4.0,4.0,4.0,0.0,Expected
8,8,4.0,4.0,4.0,0.0,Expected
8,9,2.0,3.0,2.0,0.0,Expected
8,10,5.0,3.0,5.0,0.0,Expected
8,11,3.0,3.0,3.0,0.0,Expected
8,12,3.0,3.0,3.0,0.0,Expected
8,13,2.0,3.0,2.0,0.0,Expected
8,14,4.0,3.0,4.0,0.0,Expected
8,15,5.0,3.0,5.0,0.0,Expected
8,16,5.0,3.0,5.0,0.0,Expected
8,17,2.0,5.0,2.0,0.0,Expected
8,18,4.0,5.0,4.0,0.0,Expected
8,19,5.0,5.0,5.0,0.0,Expected
8,20,5.0,3.0,5.0,0.0,Expected
8,21,4.0,3.0,4.0,0.0,Expected
8,22,2.0,3.0,2.0,0.0,Expected
8,23,5.0,3.0,5.0,0.0,Expected
8,24,4.0,3.0,4.0,0.0,Expected
9,1,5.0,1.0,5.0,0.0,Expected
9,2,5.0,1.0,5.0,0.0,Expected
9,3,3.0,1.0,3.0,0.0,Expected
9,4,3.0,1.0,3.0,0.0,Expected
9,5,2.0,1.0,2.0,0.0,Expected
9,6,3.0,4.0,3.0,0.0,Expected
9,7,5.0,4.0,5.0,0.0,Expected
9,8,3.0,4.0,3.0,0.0,Expected
9,9,3.0,3.0,3.0,0.0,Expected
9,10,4.0,3.0,4.0,0.0,Expected
9,11,3.0,3.0,3.0,0.0,Expected
9,12,3.0,3.0,3.0,0.0,Expected
9,13,5.0,3.0,5.0,0.0,Expected
9,14,4.0,3.0,4.0,0.0,Expected
9,15,2.0,3.0,2.0,0.0,Expected
9,16,3.0,3.0,3.0,0.0,Expected
9,17,3.0,5.0,3.0,0.0,Expected
9,18,5.0,5.0,5.0,0.0,Expected
9,19,3.0,5.0,3.0,0.0,Expected
9,20,5.0,3.0,5.0,0.0,Expected
9,21,4.0,3.0,4.0,0.0,Expected
9,22,2.0,3.0,2.0,0.0,Expected
9,23,5.0,3.0,5.0,0.0,Expected
9,24,5.0,3.0,5.0,0.0,Expected
10,1,4.0,1.0,4.0,0.0,Expected
10,2,3.0,1.0,3.0,0.0,Expected
10,3,3.0,1.0,3.0,0.0,Expected
10,4,5.0,1.0,5.0,0.0,Expected
10,5,5.0,1.0,5.0,0.0,Expected
10,6,3.0,4.0,3.0,0.0,Expected
10,7,4.0,4.0,4.0,0.0,Expected
